phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,1,-0.0900,nan,0.02990,0.00571,12,-804.3309,5620.1433,1946.0545,6001.6736,baseline_N=0.00000;dF_base_N=0.02990;dF_step_N=nan;slope_N_per_mm=nan;change_point=False
approach,2,-0.1700,nan,0.05430,0.00319,12,-809.9867,5646.5130,1954.1337,6029.7451,baseline_N=0.02990;dF_base_N=0.02440;dF_step_N=0.02440;slope_N_per_mm=0.30500;change_point=False
approach,3,-0.2700,nan,0.09360,0.00712,12,-816.2927,5691.7396,1966.9134,6077.0867,baseline_N=0.04210;dF_base_N=0.05150;dF_step_N=0.03930;slope_N_per_mm=0.39300;change_point=False
approach,4,-0.3900,nan,0.12300,0.00504,12,-824.4935,5760.1957,1988.5530,6149.3078,baseline_N=0.05430;dF_base_N=0.06870;dF_step_N=0.02940;slope_N_per_mm=0.24500;change_point=False
approach,5,-0.5000,nan,0.17305,0.00319,12,-836.5135,5852.2649,2016.2188,6246.1106,baseline_N=0.07395;dF_base_N=0.09910;dF_step_N=0.05005;slope_N_per_mm=0.45500;change_point=True
probe,1,-0.5900,0.0900,0.22700,0.00430,17,-848.9292,5959.8204,2051.7991,6360.0329,
probe,2,-0.7000,0.2000,0.28280,0.00608,17,-864.6259,6095.8348,2098.9653,6504.8009,
probe,3,-0.7900,0.2900,0.34230,0.00652,17,-881.1251,6241.8636,2151.0311,6660.6440,
probe,4,-0.9000,0.4000,0.41020,0.00578,17,-899.0479,6400.3651,2205.1416,6829.0270,
probe,5,-1.0000,0.5000,0.46840,0.00504,17,-916.4415,6571.7915,2258.5145,7009.2222,
probe,6,-1.1000,0.6000,0.53830,0.00845,17,-937.0181,6753.1464,2313.9263,7199.8086,
probe,7,-1.1900,0.6900,0.61900,0.01023,17,-957.0267,6941.0173,2368.3729,7396.1349,
probe,8,-1.2900,0.7900,0.69720,0.00578,17,-976.3176,7133.2198,2424.8778,7597.1082,
probe,9,-1.3900,0.8900,0.79310,0.00371,17,-993.5463,7329.7703,2482.4832,7802.2683,
probe,10,-1.5000,1.0000,0.88780,0.00949,17,-1011.9887,7542.3826,2539.2915,8022.4471,
probe,11,-1.5900,1.0900,0.99330,0.00534,17,-1030.5845,7760.9580,2598.8899,8249.1698,
probe,12,-1.6900,1.1900,1.12150,0.00890,17,-1049.7810,7986.6865,2663.4802,8484.2990,
probe,13,-1.7900,1.2900,1.24770,0.00460,17,-1067.3634,8220.6280,2727.8048,8726.9072,
probe,14,-1.9000,1.4000,1.38140,0.00519,17,-1084.3091,8454.8181,2788.9406,8968.7159,
probe,15,-2.0000,1.5000,1.53270,0.00934,17,-1098.9099,8691.7414,2852.7146,9213.6829,
probe,16,-2.0900,1.5900,1.68620,0.00534,17,-1114.4535,8942.3818,2919.7345,9472.7530,
probe,17,-2.1800,1.6800,1.86520,0.00326,17,-1128.1349,9192.2917,2988.9371,9731.6319,
probe,18,-2.2900,1.7900,2.05440,0.00400,17,-1140.0962,9446.7081,3059.4606,9995.0194,
probe,19,-2.3700,1.8700,2.26430,0.00460,17,-1154.2317,9717.8912,3134.4032,10275.9012,
probe,20,-2.5000,2.0000,2.51630,0.00652,17,-1170.6509,10001.9235,3209.0167,10569.1383,
probe,21,-2.5900,2.0900,2.77710,0.00726,17,-1185.8925,10295.9563,3285.4886,10872.3269,
probe,22,-2.7000,2.2000,3.07180,0.00371,17,-1202.0591,10604.9075,3349.9769,11186.2127,
probe,23,-2.7900,2.2900,3.39080,0.00875,17,-1217.2834,10921.8292,3413.3006,11507.3347,
probe,24,-2.8900,2.3900,3.74680,0.00964,17,-1230.8942,11243.6228,3467.9073,11830.4918,
probe,25,-3.0000,2.5000,4.13180,0.00860,17,-1245.1178,11574.3140,3521.0715,12161.9491,
probe,26,-3.0900,2.5900,4.60540,0.00741,17,-1260.6086,11913.0790,3574.0494,12501.3765,
probe,27,-3.1900,2.6900,5.08950,0.00400,17,-1273.3884,12133.5864,3612.0254,12723.6852,
probe,28,-3.2900,2.7900,5.61180,0.00993,17,-1281.5078,12319.5538,3647.0061,12911.7900,
probe,29,-3.3900,2.8900,6.20260,0.00890,17,-1292.1973,12504.3062,3686.9376,13100.4182,
probe,30,-3.5000,3.0000,6.84840,0.01809,17,-1299.5294,12674.5821,3719.1138,13272.7396,
probe,31,-3.5900,3.0900,7.57060,0.01127,17,-1307.0444,12864.5079,3744.0720,13461.8722,
probe,32,-3.6900,3.1900,8.35640,0.01082,17,-1315.4230,13033.2587,3762.9765,13629.2393,
