model,test_session,n_states,F_MAE_N,F_RMSE_N,F_R2,d_MAE_mm,d_RMSE_mm,d_R2
dense_path_memory_ridge,overall,300,0.36898356781605446,0.48657031941669193,0.9769660555409228,0.017343866224734092,0.021533096995490483,0.9912301052251286
dense_path_memory_random_forest,overall,300,0.5016257414875536,0.7453344839270275,0.9459520136868358,0.03487290289802919,0.04748212916028818,0.9573575882559466
dense_magnetic_plain_random_forest,overall,300,1.2645809297856396,1.6590288110880347,0.7322158027816992,0.07953638095538802,0.09976058569661103,0.811765437201137
dense_magnetic_plain_ridge,overall,300,1.3019716994188009,1.8045665536586384,0.6831724816573407,0.06469933167523714,0.081934446577645,0.8730261060465181
dense_path_memory_ridge,session_20260615_112044,75,0.27337933820844207,0.38836991737591153,0.9819180960476301,0.013520594661917299,0.017114500210936863,0.9944358694906709
dense_path_memory_random_forest,session_20260615_112044,75,0.2870214493041128,0.40448925738707187,0.9803859636185948,0.0331180383958637,0.05001361526740186,0.9524833993312941
dense_magnetic_plain_random_forest,session_20260615_112044,75,0.7870345572157316,1.0045496549060706,0.8790249499927855,0.059454666558443066,0.07905089700557137,0.8812913214622209
dense_magnetic_plain_ridge,session_20260615_112044,75,0.9793265295586133,1.1873278564649656,0.8309970416315646,0.05935687789356699,0.08189225701757762,0.8726043651394528
dense_path_memory_random_forest,session_20260615_143640,75,0.18348762108417527,0.2933124567621349,0.9905389734009574,0.01907528595479043,0.026322273106033404,0.9868905718260974
dense_path_memory_ridge,session_20260615_143640,75,0.29505487329736674,0.36173948950763113,0.9856097250763507,0.009239778699329838,0.01109348590230089,0.9976715171778401
dense_magnetic_plain_random_forest,session_20260615_143640,75,0.5119857639285117,0.7110440467046248,0.944400580455238,0.045627137638289676,0.05686436470181209,0.9388188903232649
dense_magnetic_plain_ridge,session_20260615_143640,75,0.8737642078587048,1.0790618562064385,0.8719528459883086,0.04332979361997052,0.051994733197727086,0.9488488178800237
dense_path_memory_ridge,session_20260618_092135,75,0.4804492203064885,0.6160886898132244,0.9590533722718204,0.027048413225739795,0.028978949282093148,0.9839769679383833
dense_path_memory_random_forest,session_20260618_092135,75,0.6950222921322761,0.9227354731359458,0.9081485320822631,0.05022895568783077,0.0579349220812394,0.9359586782814255
dense_magnetic_plain_ridge,session_20260618_092135,75,1.4270447595678666,1.8215515524185757,0.6420563999883189,0.09645091504431678,0.11209969635484078,0.7602336099311992
dense_magnetic_plain_random_forest,session_20260618_092135,75,1.7045365299480515,2.1435986084322947,0.5043003630816998,0.09812381618566668,0.11881866035661198,0.730630304591195
dense_path_memory_ridge,session_20260618_135532,75,0.42705083945192046,0.5345566183683981,0.9764443743050173,0.01956667831194944,0.02447337362195845,0.9888212366706278
dense_path_memory_random_forest,session_20260618_135532,75,0.8409716034296505,1.058777342837611,0.9075905254117136,0.03706933155363188,0.04967425276975561,0.9539458504777871
dense_magnetic_plain_ridge,session_20260618_135532,75,1.9277513006900187,2.6708930716069044,0.41194191430192184,0.05965974014309431,0.06983464885969229,0.9089776616269934
dense_magnetic_plain_random_forest,session_20260618_135532,75,2.054766868050264,2.213546417964134,0.5960901075959586,0.11493990343915264,0.12731152145370597,0.6974887728354402
