work_zone,model,model_label,n_states,n_sessions,actual_d_min_mm,actual_d_max_mm,F_min_N,F_max_N,F_MAE_N,F_RMSE_N,F_R2,d_MAE_mm,d_RMSE_mm,d_R2,F_error_median_N,d_error_median_mm,F_abs_error_p90_N,d_abs_error_p90_mm
1.8-2.6 mm,apmd_local_identifiability_ridge,local-ID,78,2,1.82,2.58,1.59155,6.09725,0.10821400091933465,0.13664977480890322,0.9850499198648336,0.01607726679012364,0.02070423222305175,0.9902448685631832,-0.00034103296885505,-0.0063042710467433,0.2501770755368451,0.03312712157933257
1.8-2.6 mm,apmd_path_memory_ridge,path memory,78,2,1.82,2.58,1.59155,6.09725,0.7830193106821098,0.9567836781875338,0.26708569890073885,0.018393026676984153,0.02327671024724873,0.9876701422582809,0.26093917193075894,-0.0037080979851951,1.5170169791713763,0.04155003750851111
1.8-2.6 mm,lim_style_branch_ridge,branch label,78,2,1.82,2.58,1.59155,6.09725,0.6916802251343833,0.83192432374414,0.4458933980869427,0.018543658518964057,0.023952189261490134,0.9869441457164765,-0.1606377283856688,-0.00287469686515535,1.2551906041000378,0.03782802871115767
1.8-2.6 mm,plain_magnetic_ridge,plain magnetic,78,2,1.82,2.58,1.59155,6.09725,0.6623742482488256,0.7951333276471265,0.4938192859996675,0.02237844720218549,0.027118531328639988,0.9832641722992564,-0.473133670453851,-0.01189283726433335,1.2800836668239313,0.04117888497958075
2.4-3.2 mm,apmd_local_identifiability_ridge,local-ID,78,3,2.42,3.19,3.1511,11.3635,0.07630614373502341,0.09352612621033528,0.997801230112907,0.019090326291589355,0.023304590053988997,0.9879349197111313,-0.0543345155031342,0.00457331672716595,0.13742629420676694,0.03928592446659265
2.4-3.2 mm,apmd_path_memory_ridge,path memory,78,3,2.42,3.19,3.1511,11.3635,0.42895435515214997,0.5457673975706804,0.9251263396682208,0.027295577501916118,0.034654009304912956,0.9733219393119251,0.22908797287234778,-0.0034869845319469,0.9684183300121849,0.058907798771514336
2.4-3.2 mm,lim_style_branch_ridge,branch label,78,3,2.42,3.19,3.1511,11.3635,0.3711273670718714,0.4331785071483586,0.9528319754383207,0.026810215918691174,0.03315920736230304,0.9755738194981949,0.32880320603547775,0.00031841755563539873,0.7101778444031372,0.05366805606348176
2.4-3.2 mm,plain_magnetic_ridge,plain magnetic,78,3,2.42,3.19,3.1511,11.3635,1.1951130074488783,1.3642805029007796,0.5321342728705645,0.0355908882811603,0.043915113980357155,0.9571574502817309,-0.49340622072890694,-0.00045347535767835,2.092294629994139,0.07227962278339634
3.0-3.8 mm,apmd_local_identifiability_ridge,local-ID,78,2,3.01,3.79,4.1544,18.7804,0.06853627594002033,0.09319123572474787,0.9991051357794278,0.05607979754447948,0.06750017513836058,0.8983416231666247,0.00306722331515045,0.04629444281590415,0.14089422249027073,0.10822675635388047
3.0-3.8 mm,apmd_path_memory_ridge,path memory,78,2,3.01,3.79,4.1544,18.7804,1.2786270803063562,1.638440907689925,0.723389559551499,0.05586932572376025,0.0672980893370555,0.8989494130586847,0.911173464667475,0.05330483056800905,2.3441666071173186,0.11324843919689123
3.0-3.8 mm,lim_style_branch_ridge,branch label,78,2,3.01,3.79,4.1544,18.7804,1.269214402605795,1.5619904388887473,0.7486008845673583,0.0478147936797931,0.05849314114382911,0.9236615636685983,0.777874888848956,0.0411660946129817,2.4704736666747573,0.0929340089219614
3.0-3.8 mm,plain_magnetic_ridge,plain magnetic,78,2,3.01,3.79,4.1544,18.7804,2.062578506925975,2.5202730942059746,0.34551121521071326,0.05735815003827353,0.07329648653982437,0.8801329861296879,0.46538791335314,0.0558317121941005,3.9229300072327034,0.1171115793845333
3.4-4.2 mm,apmd_local_identifiability_ridge,local-ID,78,2,3.42,3.89,10.0087,21.4931,0.07651572381042997,0.11012619046936159,0.9990971865224993,0.09578656433997502,0.11186528387407409,0.5220762255137656,-0.025936745987641098,-0.10327446961820524,0.15315189417496622,0.16613975413353496
3.4-4.2 mm,apmd_path_memory_ridge,path memory,78,2,3.42,3.89,10.0087,21.4931,1.5631544080571573,1.8282349995147789,0.7511825477135164,0.1106908871567641,0.1345812709850696,0.30826901762854997,0.45523723375225345,-0.1279566520150656,2.942269750238853,0.2001013404981607
3.4-4.2 mm,lim_style_branch_ridge,branch label,78,2,3.42,3.89,10.0087,21.4931,1.7774418158669407,2.13713620378506,0.659998209350132,0.10568084368887853,0.12954010839465566,0.3591203385346181,0.355629824486293,-0.1019140309223147,3.8529410480104147,0.19612126477706238
3.4-4.2 mm,plain_magnetic_ridge,plain magnetic,78,2,3.42,3.89,10.0087,21.4931,2.2475375850501327,2.6850696316941276,0.4633045582297477,0.11362593307040804,0.13497596117908825,0.30420575118080917,-0.3470032599982264,-0.08855410659127555,4.272129592105918,0.2170255879818739
