block,session_id,source_file,trial,target_label,d_target_mm,d_preload_mm,d_direct_mm,d_return_mm,d_diff_mm,F_direct_N,F_return_N,delta_F_N,abs_delta_F_N,Bmag_direct_uT,Bmag_return_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,same_d_ok,force_split_ok,b_signal_ok,verdict
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,1,240,2.4000,2.7000,2.3800,2.4000,+0.0200,1.986300,1.568300,-0.418000,0.418,6302.0847,6363.9269,+61.8422,-1.2020,+61.3020,+13.5520,62.7936,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,2,240,2.4000,2.7000,2.3900,2.3900,+0.0000,2.183900,1.751500,-0.432400,0.4324,6499.0931,6563.0810,+63.9879,+0.0000,+63.1040,+13.5520,64.5428,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,3,240,2.4000,2.7000,2.3800,2.4000,+0.0200,2.245750,1.806200,-0.439550,0.43955,6553.8155,6607.7539,+53.9384,-3.0060,+55.5930,+7.7440,56.2102,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,1,260,2.6000,2.9000,2.5800,2.6000,+0.0200,2.729300,2.215300,-0.514000,0.514,7012.5620,7122.3694,+109.8074,+0.6000,+108.1810,+28.0720,111.7655,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,2,260,2.6000,2.9000,2.5900,2.6100,+0.0200,2.820150,2.304900,-0.515250,0.51525,7115.8227,7220.6132,+104.7905,-0.6010,+98.5630,+37.2685,105.3754,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,3,260,2.6000,2.9000,2.5800,2.6000,+0.0200,2.879650,2.359200,-0.520450,0.52045,7186.3190,7295.9829,+109.6639,+0.6020,+100.3680,+45.4960,110.1997,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,1,280,2.8000,3.1000,2.7800,2.8000,+0.0200,3.630450,2.924800,-0.705650,0.70565,7762.0456,7859.6078,+97.5621,+0.6020,+94.9590,+28.5550,99.1613,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,2,280,2.8000,3.1000,2.7900,2.7900,+0.0000,3.682500,2.997200,-0.685300,0.6853,7826.5065,7930.8905,+104.3840,+0.6010,+97.9620,+38.2365,105.1615,1,1,1,strong
3.1A,session_20260610_091145,same_d_different_f_scan_A_pair_summary.csv,3,280,2.8000,3.1000,2.7800,2.8000,+0.0200,3.746700,3.048400,-0.698300,0.6983,7883.3117,7985.5512,+102.2395,+0.6010,+97.3620,+34.8480,103.4123,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,1,300,3.0000,3.3000,2.9800,3.0000,+0.0200,4.559300,3.745150,-0.814150,0.81415,8926.9583,9097.2896,+170.3313,+1.8030,+160.4660,+65.8250,173.4518,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,2,300,3.0000,3.3000,2.9900,2.9900,+0.0000,4.419100,3.625200,-0.793900,0.7939,8806.1959,8954.0666,+147.8708,+3.3055,+139.4320,+54.2080,149.6353,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,3,300,3.0000,3.3000,2.9800,3.0000,+0.0200,4.746000,3.928900,-0.817100,0.8171,9002.9104,9154.8791,+151.9687,-0.6010,+146.6450,+51.3050,155.3619,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,1,320,3.2000,3.5000,3.1900,3.2100,+0.0200,5.517600,4.544600,-0.973000,0.973,9416.6014,9590.6538,+174.0524,+3.3045,+185.7090,+31.4595,188.3838,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,2,320,3.2000,3.5000,3.1900,3.2000,+0.0100,5.675350,4.702700,-0.972650,0.97265,9535.6032,9722.4564,+186.8532,+4.2070,+197.1330,+36.7830,200.5794,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,3,320,3.2000,3.5000,3.1900,3.1900,+0.0000,5.914900,4.907000,-1.007900,1.0079,9672.2535,9856.4405,+184.1870,+4.5075,+203.7430,+23.7160,205.1682,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,1,340,3.4000,3.7000,3.3800,3.4000,+0.0200,7.342250,6.032500,-1.309750,1.30975,10317.2714,10505.0947,+187.8233,+4.8080,+219.9730,+5.8080,220.1022,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,2,340,3.4000,3.7000,3.3800,3.4000,+0.0200,6.678600,5.556800,-1.121800,1.1218,10087.1477,10286.6376,+199.4899,+6.0100,+231.3910,+9.6810,231.6714,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,3,340,3.4000,3.7000,3.3800,3.4000,+0.0200,7.055450,5.872100,-1.183350,1.18335,10252.9261,10451.1369,+198.2108,+4.8080,+227.1740,+15.4880,227.7521,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,1,360,3.6000,3.9000,3.5900,3.6000,+0.0100,8.933750,7.327950,-1.605800,1.6058,10951.0732,11145.9815,+194.9083,+3.3055,+210.3570,+32.9120,212.9418,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,2,360,3.6000,3.9000,3.5800,3.6000,+0.0200,8.966800,7.379700,-1.587100,1.5871,11029.0912,11214.5139,+185.4227,+1.8030,+206.1430,+22.2640,207.3496,1,1,1,strong
3.1B,session_20260610_104017,same_d_different_f_scan_B_pair_summary.csv,3,360,3.6000,3.9000,3.5800,3.6000,+0.0200,8.889700,7.315500,-1.574200,1.5742,11045.3729,11226.5088,+181.1359,-0.6010,+200.7310,+21.2950,201.8583,1,1,1,strong
