timestamp,preset,rate_Hz,n,axis,mean_uT,sigma_raw_uT,sigma_detrend_uT,drift_uT_per_s,p2p_uT
20260512_152056,low_noise,14.62,905,Bx,26.3039,0.3882,0.3880,0.00060,2.4000
20260512_152056,low_noise,14.62,905,By,50.5747,0.4156,0.4148,-0.00144,2.5500
20260512_152056,low_noise,14.62,905,Bz,7.0437,0.5974,0.5973,-0.00079,3.3880
20260512_152412,balanced,51.78,3298,Bx,26.3452,1.1216,1.1216,-0.00061,7.8000
20260512_152412,balanced,51.78,3298,By,50.5481,1.1309,1.1305,0.00167,7.8000
20260512_152412,balanced,51.78,3298,Bz,6.8668,1.6905,1.6893,-0.00333,10.4060
20260512_152720,fast,80.93,5177,Bx,26.2802,2.8662,2.8661,-0.00098,23.4000
20260512_152720,fast,80.93,5177,By,50.8053,2.8150,2.8147,0.00210,20.8500
20260512_152720,fast,80.93,5177,Bz,6.7807,4.2456,4.2451,0.00336,31.2180
20260512_152952,fastest,81.86,5239,Bx,304.1451,5.0147,5.0142,0.00388,35.8500
20260512_152952,fastest,81.86,5239,By,1.9301,5.1653,5.1645,0.00478,37.8000
20260512_152952,fastest,81.86,5239,Bz,489.2305,7.4761,7.4731,0.01157,53.9660
20260512_153249,fastest,81.88,5242,Bx,303.6198,5.1060,5.1059,0.00046,36.3000
20260512_153249,fastest,81.88,5242,By,2.7095,5.1298,5.1297,0.00048,33.3000
20260512_153249,fastest,81.88,5242,Bz,490.3044,7.5082,7.5069,0.00736,57.1120
20260512_154041,fast,80.41,5175,Bx,26.3031,2.8393,2.8392,-0.00178,21.3000
20260512_154041,fast,80.41,5175,By,50.6604,2.8456,2.8454,0.00165,20.5500
20260512_154041,fast,80.41,5175,Bz,6.3998,4.2016,4.2016,-0.00089,31.4600
20260512_155359,low_noise,14.41,929,Bx,23.5700,0.3923,0.3923,-0.00005,2.7010
20260512_155359,low_noise,14.41,929,By,50.0241,0.4027,0.4027,0.00044,2.7010
20260512_155359,low_noise,14.41,929,Bz,3.6232,0.6243,0.6241,-0.00092,3.3880
20260512_155505,balanced,57.65,3670,Bx,23.6411,1.1163,1.1162,0.00109,8.1000
20260512_155505,balanced,57.65,3670,By,50.1355,1.1417,1.1414,-0.00140,8.3990
20260512_155505,balanced,57.65,3670,Bz,3.5679,1.6048,1.6048,0.00014,11.6160
20260512_155611,fast,95.68,6160,Bx,23.6718,2.9054,2.9050,-0.00277,21.1500
20260512_155611,fast,95.68,6160,By,50.2122,2.9208,2.9208,-0.00073,21.4510
20260512_155611,fast,95.68,6160,Bz,3.5215,4.1751,4.1740,-0.00516,32.4280
20260512_160050,fastest,105.40,6753,Bx,299.7191,5.0756,5.0751,-0.00378,36.5990
20260512_160050,fastest,105.40,6753,By,1.9435,5.0654,5.0541,-0.01828,41.2490
20260512_160050,fastest,105.40,6753,Bz,485.9041,7.6804,7.6787,0.00860,55.1760
20260518_172156,balanced,57.57,3673,Bx,-57.3574,1.1162,1.1159,0.00121,7.6500
20260518_172156,balanced,57.57,3673,By,-20.9243,1.1330,1.1327,0.00128,7.3500
20260518_172156,balanced,57.57,3673,Bz,-182.3906,1.6172,1.6171,0.00108,11.1320
20260518_172302,fast,96.09,6159,Bx,-57.4821,2.8941,2.8939,-0.00163,20.9990
20260518_172302,fast,96.09,6159,By,-20.8471,2.9230,2.9229,-0.00178,20.4000
20260518_172302,fast,96.09,6159,Bz,-182.8013,4.1815,4.1814,-0.00112,29.2820
20260518_172408,fastest,105.18,6745,Bx,218.6233,5.1738,5.1733,-0.00364,34.6490
20260518_172408,fastest,105.18,6745,By,-69.1458,5.0331,5.0309,0.00816,36.3010
20260518_172408,fastest,105.18,6745,Bz,298.1666,7.5148,7.5146,-0.00287,59.0480
20260518_172514,low_noise,15.05,937,Bx,-57.2695,0.4010,0.3977,0.00286,2.5500
20260518_172514,low_noise,15.05,937,By,-20.9292,0.4108,0.4087,0.00230,2.2500
20260518_172514,low_noise,15.05,937,Bz,-182.3035,0.6160,0.6150,0.00191,3.8720
