q_mm,direction,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT
40.0,down,150,35.2138,0.3611,-46.4318,0.3619,203.4023,0.5819
39.0,down,150,35.0818,0.4027,-46.6268,0.3866,214.1617,0.5998
38.0,down,150,34.6238,0.4347,-46.6078,0.4499,226.0036,0.6457
37.0,down,150,34.4488,0.4245,-46.7338,0.4078,238.8233,0.5857
36.0,down,150,34.3728,0.4322,-46.8658,0.4429,253.0141,0.6145
35.0,down,150,34.2398,0.3721,-46.8458,0.4306,268.6746,0.5524
34.0,down,150,34.1188,0.3738,-47.0238,0.4392,285.9131,0.6242
33.0,down,150,33.9608,0.4024,-47.0738,0.4056,305.0520,0.7069
32.0,down,150,33.9588,0.3997,-46.9458,0.4134,326.3739,0.5615
31.0,down,150,33.6378,0.4240,-46.9919,0.3562,350.1882,0.6002
30.0,down,150,33.4728,0.4263,-46.8688,0.4144,377.2569,0.5801
29.0,down,150,32.8448,0.4110,-46.8538,0.4506,406.9922,0.5898
28.0,down,150,32.6008,0.4034,-46.8578,0.4144,441.3578,0.5871
27.0,down,150,31.8457,0.4487,-46.5658,0.4609,479.7018,0.5978
26.0,down,150,30.4568,1.0896,-44.5477,1.7932,523.5167,0.6422
25.0,down,150,27.7158,0.3956,-41.4798,0.4078,573.1429,0.6571
24.0,down,150,24.9328,0.4068,-36.4468,0.4283,631.4569,0.5749
23.0,down,150,22.9298,0.4460,-34.0898,0.4361,698.1262,0.6486
22.0,down,150,20.8428,0.3922,-30.9038,0.4185,774.9710,0.5937
21.0,down,150,17.5558,0.3862,-26.8098,0.4521,864.6545,0.6950
20.0,down,150,14.6028,0.3902,-21.4997,0.4270,969.9116,0.5913
19.0,down,150,9.7538,0.4182,-14.4878,0.3949,1094.0075,0.6296
18.0,down,150,4.7428,0.5437,-5.9519,0.4696,1246.3707,1.0414
17.0,down,150,-3.9688,0.4263,6.3038,0.4199,1424.5279,0.5887
16.0,down,150,-12.9198,0.4134,22.3118,0.4219,1644.6593,0.6359
15.0,down,150,-26.4168,0.4022,43.6368,0.3978,1900.2241,0.6036
14.0,down,150,-43.1058,0.4051,73.6338,0.4282,2239.0710,0.8007
13.0,down,150,-69.5558,0.4287,115.4548,0.4396,2663.6552,0.6746
12.0,down,150,-102.1808,0.3724,174.3158,0.3712,3207.8342,0.6763
11.0,down,150,-156.3527,0.4421,260.3948,0.4147,3920.9868,0.7669
10.0,down,150,-226.8698,0.3869,387.0359,0.4202,4867.2199,0.8436
9.0,down,150,-497.2918,0.3851,1057.8348,0.4549,5851.2672,0.9751
8.0,down,150,-737.4498,0.4603,1607.8938,0.4652,7416.6129,1.0386
7.0,down,150,-1139.9217,0.5668,2537.8688,0.7470,-6281.3825,1.3259
6.0,down,150,-1783.0598,0.6828,4062.0148,0.6146,-3236.1368,1.8310
5.0,down,150,-2940.6748,0.9509,-3044.8328,1.0050,818.6841,2.4606
4.0,down,150,-4856.1582,1.0001,1748.8278,1.5591,4754.9143,11.4295
3.0,down,150,1487.7818,24.0878,3883.2587,4.0897,6170.5515,8.6093
